business_id	name	categories
bBDDEgkFA1Otx9Lfe7BZUQ	Sonic Drive-In	Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food
MUTTqe8uqyMdBl186RmNeA	Tuna Bar	Sushi Bars, Restaurants, Japanese
8wGISYjYkE2tSqn3cDMu8A	Nifty Car Rental	Automotive, Car Rental, Hotels & Travel, Truck Rental
ROeacJQwBeh05Rqg7F6TCg	BAP	Korean, Restaurants
qhDdDeI3K4jy2KyzwFN53w	Barnes & Noble Booksellers	Shopping, Books, Mags, Music & Video, Bookstores
4iRzR7OaS-QaSXuvYxEGKA	Super Dog	Hot Dogs, Restaurants
tMkwHmWFUEXrC9ZduonpTg	The Green Pheasant	Restaurants, Japanese, Seafood
QdN72BWoyFypdGJhhI5r7g	Bar One	Cocktail Bars, Bars, Italian, Nightlife, Restaurants
Mjboz24M9NlBeiOJKLEd_Q	DeSandro on Main	Pizza, Restaurants, Salad, Soup
8sshLb4UU7emeUDvtJWnpA	DanceLine	Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping
w_AMNoI1iG9eay7ncmc67w	River 127	Event Planning & Services, Hotels, Hotels & Travel
LcAozWCMLGjwRbokaJAKMg	Edwardsville Children's Museum	Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums
B2qqjCl_BNNnXvWWfpFiLA	Pottery Barn Kids	Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden
aCDY7vXYMs54EbYuQScsnQ	39 North Taproom & Grill	American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar
pJfh3Ct8iL58NZa8ta-a5w	Top Shelf Sports Lounge	Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)
oaboaRBUgGjbo2kfUIKDLQ	Mike's Ice Cream	Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food
oaboaRBUgGjbo2kfUIKDLQ	Mike's Ice Cream	Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food
oaboaRBUgGjbo2kfUIKDLQ	Mike's Ice Cream	Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food
I6DCYks9lqZeoZiVzW7PmA	Its Sold Here	Shopping, Auction Houses, Active Life
anLQj9AM8vjbcLSIE0iUgg	Papa Murphy's	Pizza, Restaurants
SZU9c8V2GuREDN5KgyHFJw	Santa Barbara Shellfish Company	Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife
SZU9c8V2GuREDN5KgyHFJw	Santa Barbara Shellfish Company	Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife
SZU9c8V2GuREDN5KgyHFJw	Santa Barbara Shellfish Company	Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife
WYYdQDjx-DsCanlP0DpImQ	J Sushi	Seafood, Restaurants, Sushi Bars, Japanese
U2htB9qk4hOXCdkccvvW0Q	D's Toys	Shopping, Books, Mags, Music & Video, Toy Stores, Hobby Shops, Comic Books
G4lRmwDHdvhZAhmtlsYYBw	Wendy's	Burgers, Restaurants, Fast Food
yswijv6wP2fKbMqAiEZ0vw	Reno Bighorns	Active Life, Basketball Courts, Stadiums & Arenas, Arts & Entertainment, Professional Sports Teams
DfGNZQsCe9k2BxazCf0p6g	Reno Family Chiropractic	Health & Medical, Chiropractors
ORL4JE6tz3rJxVqkdKfegA	Gaylord Opryland Resort & Convention Center	Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas
ORL4JE6tz3rJxVqkdKfegA	Gaylord Opryland Resort & Convention Center	Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas
pmuuoDqNZp7518AUd-YmPA	Bagelicious - King Of Prussia	Restaurants, Bakeries, Caterers, Bagels, Food, Event Planning & Services
tSFXJ0GFl5iUdy021YgWLw	The Mad Griddle 	Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants, Pizza, Southern
Nh1rc9aSeO-Y5lYmXVS6CA	Quality Inn Nashville Downtown - Stadium	Hotels & Travel, Event Planning & Services, Hotels
cSeA6pC9JUlGfz-RNfvnGw	Midwest RV Center	Trailer Dealers, Auto Parts & Supplies, Auto Repair, RV Repair, Local Services, Trailer Repair, RV Dealers, Shopping, Automotive, Propane, Outdoor Gear, Sporting Goods
Y6heWJJ9AmEL58fZwgi9YQ	Rosati's Pizza	Sports Bars, Bars, Nightlife, Italian, Restaurants, Pizza
7FHjj04Wy2aqXl22NA_C0g	Aldi	Grocery, Food
bi3SICnYEuFC7Cihyqz8Nw	Thach Used Tires	Tires, Automotive
uDQgmudYDKiB6n4vwbEeDg	Chrysalis	Restaurants, Italian, Nightlife, Bars, Cocktail Bars, Tapas/Small Plates
v5kwdvmg-J8g-ll0nkc3Sw	The Libertine Liquor Bar	Restaurants, Lounges, Bars, American (New), Nightlife
wZhGuW7vQpfhxeEvLHkTrA	Express Cafe	Restaurants, Breakfast & Brunch
1dSKEitDDgIkaApe6UNMSA	The Pepper Pott	Caribbean, Food, Restaurants, Food Trucks
Q2sKrIaEZsFN7VNjkibyfQ	Accurate Window & Screen	Home Services, Windows Installation
p184f-Zvf4ToPwLba0VS4A	Misto Diner	Chinese, Restaurants, Japanese
zVlhs7BVaouutt-rles-YA	Williams Sub Shop	Restaurants, Sandwiches
0CEUpFtaKhxbmrbSdP9MUQ	Acadia	Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars
CPor0p2hvvHJJN4L0U_zEg	Ann Becnel Companion Dogs	Pet Services, Pets, Pet Training
f82dhKNiUXsDVPMLqKYiIQ	Sher-e-Punjab	Restaurants, Salad, Pakistani, Indian, Cocktail Bars, Food, Food Delivery Services, Soup, Halal, Bars, Nightlife
scychO44eMoosS9iEBV7xw	Foot Massage Reflexology	Massage, Beauty & Spas
6WBHCXHfLAG26n0ALAkoPA	U-Haul of Somerdale	Automotive, Propane, Movers, Self Storage, Towing, Home Services, Truck Rental, Local Services
bSJczuohHVko33UT82hnfA	Blaze Pizza	Pizza, Fast Food, Gluten-Free, Restaurants, Salad
dChRGpit9fM_kZK5pafNyA	The Love	Restaurants, American (New), Breakfast & Brunch, Burgers
od6skmfXz9twktEAuJHEmw	Ryan Christopher	American (New), Restaurants
j9Kaj_6tSeXmVMYCgZithg	Noble Crust	Restaurants, Italian, Nightlife, Southern, Bars, Breakfast & Brunch, Pizza
HsibLfc2XD7Gh7Hbd1WfJQ	Anytime Fitness	Active Life, Gyms, Fitness & Instruction, Trainers
_7ks3u-qZsOTKBrXKcA1Ow	Empire Beauty School	Barbers, Education, Hair Salons, Cosmetology Schools, Specialty Schools, Beauty & Spas
4xhGQGdGqU60BIznBjqnuA	California Tacos and Taproom	Mexican, Beer Bar, Bars, Sports Bars, Nightlife, Restaurants, Tacos
QWqKTWQ2OiDgo3dzNkpung	Jong Ka Jib	Korean, Restaurants
CsjKkpApaYJDd5woO9sP4w	Petco	Pets, Pet Groomers, Pet Training, Pet Services, Pet Stores
gTwgRz52imtyggXCrH2Xng	Domain Home Accessories & Gallery	Arts & Crafts, Art Galleries, Arts & Entertainment, Shopping
Wt1W6qwCvna1KzIuJRJbwA	Tokyo Mandarin	Japanese, Restaurants, Sushi Bars, Chinese
eJ77e9lGxY3ArzaoDbHhYw	Paddy Whacks Irish Sports Pub - South Street	Bars, Nightlife, Pubs
Vk3Up8OlB8h2ygVlvm8tBQ	Arcadia Landscape	Masonry/Concrete, Gardeners, Tree Services, Landscape Architects, Landscaping, Irrigation, Shopping, Nurseries & Gardening, Home & Garden, Home Services
TGr9-KKNk_o7HzqvtlKomQ	Window World of Philadelphia	Windows Installation, Home Services, Door Sales/Installation, Shutters, Siding
wQjhFPMKwN_z85aPEn6V4Q	Thai Tanic	Restaurants, Thai, Food, Specialty Food, Ethnic Food
7mpYTDb24SywNMRn3yeakQ	The Twisted Tail	Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants
7mpYTDb24SywNMRn3yeakQ	The Twisted Tail	Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants
7mpYTDb24SywNMRn3yeakQ	The Twisted Tail	Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants
xDEee0p41GueCDN0EAp-YA	Phone Repair Philly - Center City	Shopping, Electronics Repair, Local Services, IT Services & Computer Repair, Mobile Phone Repair, Mobile Phone Accessories, Mobile Phones
LdQUIP4_DPnJjq-Jf2_iNg	Boise 4x4	Auto Repair, Automotive, Auto Customization
5LbiHS5xbeKUxd9ulIJz4w	Alic Motors	Automotive, Car Dealers
Dl1alpHSJE4_iB0MGKRLXw	Johnny Rockets	Food, Fast Food, Sandwiches, Restaurants, American (Traditional), Burgers, Diners
0Ze7pcwjyauf6steWfpV7g	Hand Grenades To Go	Bars, Local Flavor, Nightlife
NNcqCDV6PHhDmKY8fO6S9g	Reeder's Auto Tint & Ceramic Coatings	Home Window Tinting, Car Window Tinting, Auto Detailing, Automotive, Vehicle Wraps, Home Services, Auto Glass Services, Auto Parts & Supplies
ngvE1G9IckUO-ljZBFo23w	Mumbai Bistro	Indian, Restaurants
VCkSUsdL5P0p16DAPxVROA	NY Bagel & Deli Shop	Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis
dIpTuL2T1L98GQGU17IeSw	The Bricks	Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian
SoJwDKedR7SJh7-G69C38A	Hong Kong Sunny	Chinese, Restaurants
SlLfWzeYOrVBxCd-0QILZQ	The Boiling House	Cajun/Creole, Seafood, Noodles, Restaurants
adATTqggIQX5xxLDISkFTw	Just Churros	Food Trucks, Restaurants, Caterers, Event Planning & Services, Food, Mexican, Spanish, Desserts
W4rgF_1eKzFZiGUOsgbGMA	Amber Indian Restaurant	Pakistani, Indian, Restaurants
6_Zf2QsRHCH1RhbzA9inyw	Starbucks	Coffee & Tea, Food
cAUe8LFnDjii_sx_4fRMaA	Once Upon A Child - Reno	Fashion, Children's Clothing, Shopping
yni7QxA0Hgw5PbgR4NxKHw	Preferred Party Place	Party Supplies, Event Planning & Services, Party Equipment Rentals
IbndcMURguByburM72o3SA	State Street Kitchen	Korean, American (Traditional), Sandwiches, Cheesesteaks, Restaurants, Coffee & Tea, Breakfast & Brunch, Food
diwwt5QBU3-Thig9SVlsOA	Brew Brothers	Bars, Nightlife, American (Traditional), Music Venues, Food, Arts & Entertainment, Restaurants, Breweries
3uvFklejzRPwEPEZQ5vHYQ	Wawa	Delis, Convenience Stores, Restaurants, Food, Coffee & Tea, Sandwiches
lB6jIOb1UBATmdfot4KJew	Soco's Gyros	Delis, Kebab, Turkish, Mediterranean, Greek, Restaurants, Food
zaaX5EzJDNxhzIFywyxYKg	Wesley Chapel Florist	Florists, Shopping, Flowers & Gifts
3c9TiufCFT2yXXj3R08Vwg	Snellgroves Restaurant	Southern, American (New), Breakfast & Brunch, Restaurants
rh3C_JK4NAoUJ-HNStvHtw	Historic Philadelphia, Inc	Hotels & Travel, Tours
EPDRXctqbR9fJRW881zSDA	Painting with a Twist	Art Classes, Party & Event Planning, Education, Paint & Sip, Arts & Entertainment, Event Planning & Services
8JEOmVGQffkr6xtn4vvplQ	Pita Kebob	Kebab, Mediterranean, Middle Eastern, Lebanese, Restaurants, Greek, Food
05f7LL_6d7DOw0hHR9tsqw	Mattress Factory	Home & Garden, Mattresses, Shopping
adb1hOYICrJ1Ix8M0sRpbw	Kuzina By Sofia	Restaurants, Food, Bakeries, Greek
H3JjbID9Zhukpqr9uupHAA	Jackson's Bar & Bistro - Nashville	Burgers, Bars, Restaurants, Nightlife, American (New), Breakfast & Brunch, Lounges
-kY_HDP7IMvGl-kBIZVU4A	Dune Coffee Roasters - Anacapa	Coffee & Tea, Coffee Roasteries, Food
n2Va0mKydUWM-Y4fv1pOtA	YOUnion @ Reno	University Housing, Real Estate, Home Services, Apartments
Hp3Ony7yW60VPuWHQFIIHA	Frady's One Stop Food Store	Delis, Food, Grocery, Restaurants
UX3eq0WsVva-cqlVrzyzFg	Cantina Los Tres Hombres	Bars, Nightlife, Mexican, Restaurants, Seafood
GILL0ZkvVXJaNQzYRXfMQw	Paris Parker Salon & Spa	Hair Salons, Beauty & Spas, Nail Salons, Day Spas, Hair Removal, Waxing, Hair Extensions
PdMXmOWDRHICAx6SLgu1dQ	24	Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch
dD2p903p8lU0IgXT3OFluA	Edgehill Cafe	Breakfast & Brunch, Restaurants, Food, Cafes, Coffee & Tea, American (Traditional), Sandwiches
dBCNUSbz5-8nQNrxWo5deg	Blue Sage Vegetarian Grille	Restaurants, Vegan, Vegetarian
6mCsrUp9Vl4iXMbOxWtVjA	Dosa Hut Indian Grill	Restaurants, Indian
71U7MxQEhwitJOm4CQpRwQ	KELP Sushi Joint	Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls
Mt1FB8hM4XTi3Tk4i0q5gQ	Nicola's Pizza	Restaurants, Pizza, Salad
dDbLYwjs5KH_rWbIjXNdoA	Weinhardt Party Rentals	Event Planning & Services, Party & Event Planning, Party Equipment Rentals
zIDuAuwyaLmNwv4k18mbwA	India Palace	Indian, Restaurants, Pakistani, American (New)
Gki1ureeRKqlIkQ-AELDVg	Brugada	Restaurants, Nightlife, Dance Clubs, Falafel, Lounges, Hookah Bars, Bars, Mediterranean
v2UmYZ1rPT48IroaD0xZAQ	reYOU massage	Massage, Health & Medical, Beauty & Spas, Medical Spas
